"selected","oracle cloud infrastructure foundations associate","aws certified cloud practitioner","aws certified solutions architect - associate1","aws cloud practitioner","mta security fundamentals","mta python","google cloud certified associate cloud engineer","mta java","microsoft azure fundamentals","junipernetworksjnciajunosjn0103certifiedassociate","mta49","thub","owl coder","hero vired","both","photoshop","unreal engine","react js","bootstrap","cloud","python","java script","express js","c++","sql","maya","blender","css","c#","c","company_id"
"myracle","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","1","0","1","0","0","0","0","1","1","0","0","0","1","111"
"mountblue","1","1","0","1","0","1","0","0","0","0","1","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","0","112"
"aimlds","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","113"
"deevyashaktiindia","1","0","0","0","0","1","0","1","0","0","0","1","0","0","0","1","1","1","1","0","0","1","1","1","0","1","0","1","0","0","114"
"12pget","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","115"
"nineleaps","1","1","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","1","1","1","1","1","0","0","0","1","0","0","116"
"lendenclub","1","0","0","0","1","1","0","0","0","0","0","1","1","1","1","0","1","0","0","0","0","0","0","1","0","1","0","1","0","0","117"
"northernarc","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0","1","0","0","118"
"exoticlearningnirvodaypvtltd","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","1","0","1","1","0","0","119"
"autocracymachinery","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","1","0","1","1","1","0","0","0","0","120"
"ranemadras","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","0","1","1","1","0","1","0","0","0","121"
"hyundaimotor","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","122"
"ballcorporation","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","123"
"lowes","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","124"
"veefin","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","125"
"deltax","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","126"
"josh","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","127"
"netenrich","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","1","0","1","0","0","0","0","0","128"
"aptonline","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","129"
"abb","1","1","0","1","1","1","1","0","0","0","0","1","0","0","0","0","1","1","1","1","1","0","0","0","0","0","0","1","0","0","130"
"amazon","1","0","0","0","0","1","0","0","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","131"
"alohatechnology","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","132"
"nccltd","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","0","0","1","0","133"
